speaker,global_session,conference,total_utterances,total_explanations,total_decisions,total_new_ideas,total_self_intros,total_minutes_spoken,first_minute,last_minute
Leslie Rogers,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,17,1,0,0,2,422.0,9.866666666666667,18.533333333333335
Maggie Osburn,2021_06_11_SLU_S13_SLU,2021_06_11_SLU_S13,43,3,0,0,1,422.0,10.483333333333333,18.75
Jaeyun Sung,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,22,0,0,0,4,420.0,10.0,19.45
Ziming Yang,2021_06_10_SLU_S2_SLU,2021_06_10_SLU_S2,14,0,0,0,1,418.0,9.683333333333334,19.416666666666668
Matt Lovett-Barron,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,22,0,0,0,2,417.0,9.25,18.766666666666666
Aida Ebrahimi- Penn State U,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,20,0,0,0,3,416.0,11.583333333333334,20.333333333333332
Ziming Yang,2021_06_10_SLU_S5_SLU,2021_06_10_SLU_S5,13,3,0,0,2,415.0,10.0,19.45
Maggie Osburn,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,11,1,0,0,6,414.0,11.7,17.5
Wei Min,2021_05_20_ABI_S5_ABI,2021_05_20_ABI_S5,36,0,0,0,1,414.0,10.0,19.516666666666666
Noah Planavsky,2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,28,0,0,0,2,405.0,11.216666666666669,19.2
Joseph Levy,2021_06_11_SLU_S8_SLU,2021_06_11_SLU_S8,27,1,0,0,2,401.0,10.066666666666666,20.0
Anat Shahar,2021_06_11_SLU_S7_SLU,2021_06_11_SLU_S7,48,2,0,0,1,397.0,10.0,19.216666666666665
