predictor,coef,std_err,p_value,ci_low,ci_high,model,n_obs,llf,llnull,pseudo_r2,llr_pvalue
C(conference)[T.NES],2.0032894541043946,0.8771852648395045,0.02238504751102672,0.28403792724973664,3.7225409809590526,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(conference)[T.SLU],1.60967169482536,0.7827708425347677,0.03974622373151569,0.0754690353091414,3.1438743543415786,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(year)[T.2021],-0.3824846034807746,0.9694895165858404,0.6931959464947801,-2.282649139378169,1.5176799324166197,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
C(year)[T.2022],-0.9911665699973872,1.4223861110993552,0.4859068762732873,-3.7789921198621115,1.796658979867337,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
sessions_total,0.7951073400401574,0.30582159919680285,0.009324936234273884,0.19570801991998021,1.3945066601603346,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_count,0.03506148508784063,0.20351785509938797,0.8632196125164178,-0.3638261811178012,0.43394915129348244,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_mean_score,0.01259289699299069,0.6921087413579033,0.9854833162457595,-1.3439153094538472,1.3691011034398286,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_sum_score,-0.1360213424438782,0.1560233700277851,0.38331690550352027,-0.44182152844490313,0.16977884355714673,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_count,0.18592573774345716,0.2166971975412584,0.390893629851391,-0.23879296498817087,0.6106444404750853,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_mean_score,1.022484106456015,0.9439775891663913,0.2787348999482583,-0.8276779705230595,2.87264618343509,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_sum_score,-0.13831630749714005,0.13672630895111354,0.3117154455648624,-0.40629494878041905,0.12966233378613892,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_count,0.6117413078800374,0.2610903124698373,0.01912806628850009,0.10001369872684729,1.1234689170332275,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_mean_score,0.002370151345929132,1.576435115096091,0.9988003905551794,-3.087385898206664,3.092126200898522,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_sum_score,-0.36834661524923956,0.15244097462179607,0.015678151737774496,-0.6671254352761442,-0.06956779522233486,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_count,-0.08496498240838594,0.28706814935302927,0.7672492084423347,-0.6476082162488885,0.4776782514321167,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_mean_score,-0.332730298205153,1.3904605827124499,0.810876823788235,-3.0579829622441315,2.392522365833826,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_sum_score,0.061572739449297004,0.15687474104086396,0.6946916198786635,-0.24589610307484386,0.36904158197343784,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_count,-0.23674770421640057,0.397794505146889,0.5517426973880515,-1.0164106075522361,0.5429151991194351,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_mean_score,0.8686762167244255,0.750938168580123,0.24735901047044973,-0.603135548309083,2.340487981757934,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_sum_score,0.1917445393491728,0.2742550584675337,0.48446030995764156,-0.34578549782512,0.7292745765234656,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_knowledge_sharing_count,-0.5249793584229883,0.24366021479896427,0.031196665832961164,-1.0025446038942518,-0.04741411295172482,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_knowledge_sharing_mean_score,-8.768444896144649,3.196502233470649,0.0060855212022090325,-15.033474150248963,-2.5034156420403333,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_knowledge_sharing_sum_score,0.3202759642517087,0.1378907294177733,0.020196378771328533,0.05001510079091526,0.590536827712502,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_none_count,0.10087215889842374,0.08120909926199564,0.21418905371796082,-0.058294750872025985,0.2600390686688735,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
ann_participation_dynamics_count,-0.06642639100044577,0.24962624709839965,0.7901595829803538,-0.5556848449092052,0.4228320629083137,On-team vs Not-on-team,273,-104.55727920506688,-188.56747334679574,0.4455179498917352,2.6252123985744337e-17
