u,t,speaker,best_sim
112,862.3333333333333,Yevgenia Kozorovitskiy,0.2902647852897644
113,869.5,Yevgenia Kozorovitskiy,0.29684942960739136
114,873.0,Brad Smith,0.2284458875656128
115,877.0,Brad Smith,0.3301679790019989
116,881.25,Sixian You,0.588961660861969
117,885.5,Sixian You,0.16339613497257233
118,889.8333333333333,Sixian You,0.20815998315811157
119,897.5,Sixian You,0.44773709774017334
120,905.1666666666667,Sixian You,0.4720839858055115
121,913.5,Sixian You,0.5346240401268005
122,920.5,Carolyn Bayer,0.4416716992855072
123,921.5,Carolyn Bayer,0.29176443815231323
124,922.5,Carolyn Bayer,0.9827275276184082
125,923.5,Carolyn Bayer,0.2156996726989746
126,924.5,Carolyn Bayer,0.28010475635528564
127,925.5,Brad Smith,0.22982847690582275
128,929.0,Carolyn Bayer,0.5201936960220337
129,933.0,Carolyn Bayer,0.24112989008426666
130,937.0,Carolyn Bayer,0.3625103235244751
131,941.25,Brad Smith,0.30121004581451416
132,943.75,Brad Smith,0.1950380504131317
133,958.0,Yevgenia Kozorovitskiy,0.47799235582351685
134,981.0,Yevgenia Kozorovitskiy,0.3159307837486267
135,997.5,Yevgenia Kozorovitskiy,0.5347612500190735
136,1010.25,Yevgenia Kozorovitskiy,0.36720019578933716
137,1022.75,Yevgenia Kozorovitskiy,0.23613013327121735
138,1037.0,Yevgenia Kozorovitskiy,0.2569858431816101
139,1052.5,Brad Smith,0.7939287424087524
140,1060.25,Brad Smith,0.5881108045578003
141,1079.25,Sixian You,0.19614675641059875
142,1087.75,Sixian You,0.4983426332473755
143,1095.0,Sixian You,0.40850237011909485
144,1104.1666666666665,Sixian You,0.5920463800430298
145,1116.5,Sixian You,0.4923577904701233
146,1128.8333333333335,Sixian You,0.45893821120262146
147,1138.5,Sixian You,0.49444660544395447
148,1143.5,Sixian You,0.3048694133758545
149,1150.5,Sixian You,0.33658599853515625
150,1165.8333333333335,Yevgenia Kozorovitskiy,0.3395553529262543
151,1171.5,Yevgenia Kozorovitskiy,0.10285285115242004
152,1177.1666666666665,Yevgenia Kozorovitskiy,0.1990521252155304
153,1183.6666666666665,Yevgenia Kozorovitskiy,0.6959130167961121
154,1191.0,Yevgenia Kozorovitskiy,0.41687124967575073
155,1198.3333333333335,Yevgenia Kozorovitskiy,0.4072224795818329
156,1213.0,Yevgenia Kozorovitskiy,0.4665123224258423
157,1231.25,Yevgenia Kozorovitskiy,0.4274090528488159
158,1245.75,Yevgenia Kozorovitskiy,0.545616626739502
159,1256.1666666666665,Yevgenia Kozorovitskiy,0.3866519331932068
160,1262.5,Yevgenia Kozorovitskiy,0.33811014890670776
161,1268.8333333333335,Yevgenia Kozorovitskiy,0.3458908796310425
162,1277.0,Yevgenia Kozorovitskiy,0.2950223684310913
163,1303.0,Brad Smith,0.23742792010307312
164,1322.0,Brad Smith,0.5593057870864868
165,1352.0,Carolyn Bayer,0.5347670912742615
166,1378.75,Carolyn Bayer,0.6032102108001709
167,1390.25,Carolyn Bayer,0.41994142532348633
168,1400.0,Carolyn Bayer,0.8030940294265747
169,1412.0,Carolyn Bayer,0.4683796167373657
170,1425.375,Carolyn Bayer,0.5324263572692871
171,1434.125,Carolyn Bayer,0.7642883062362671
172,1442.875,Carolyn Bayer,0.16770654916763306
173,1451.625,Carolyn Bayer,0.44239386916160583
174,1461.0,Brad Smith,0.37527668476104736
175,1465.75,Brad Smith,0.1756245493888855
176,1469.25,Brad Smith,0.28188538551330566
177,1475.5,Brad Smith,0.3319234549999237
178,1485.625,Carolyn Bayer,0.7212620973587036
179,1496.875,Carolyn Bayer,0.4562070965766907
180,1508.125,Carolyn Bayer,0.7026517391204834
181,1519.375,Carolyn Bayer,0.4434947967529297
182,1532.0,Carolyn Bayer,0.7783006429672241
183,1546.0,Carolyn Bayer,0.35827839374542236
184,1556.0,Carolyn Bayer,0.130411759018898
185,1565.5,Carolyn Bayer,0.4734198749065399
186,1581.5,Carolyn Bayer,0.5195090770721436
187,1602.5,Carolyn Bayer,0.49398431181907654
188,1620.5,Carolyn Bayer,0.335437536239624
189,1633.5,Carolyn Bayer,0.4517871141433716
190,1646.5,Carolyn Bayer,0.39896178245544434
191,1659.5,Carolyn Bayer,0.4198238253593445
192,1674.6666666666665,Alexandra Dickinson,0.694324791431427
193,1690.0,Alexandra Dickinson,0.49336373805999756
